;Reco;X;Y;BadFlag;SigmaOutNoise;Baseline;risetime;Amplitude
350;TRUE;31.8476;28.8745;FALSE;36.40864076;-0.000907865;1.12E-07;0.014353401
351;TRUE;29.4657;26.4347;FALSE;179.9052108;-0.000325317;8.20E-08;0.075265398
352;FALSE;;;;;;;
353;TRUE;28.0976;24.5581;FALSE;150.369606;-0.000679493;8.10E-08;0.062623761
354;TRUE;23.294;24.7493;FALSE;230.6898153;-0.000436353;8.03E-08;0.105455292
355;TRUE;31.6967;22.9997;FALSE;126.8945809;-0.000524676;8.70E-08;0.051632689
356;FALSE;;;;;;;
357;TRUE;25.2121;30.3448;FALSE;27.89113645;-0.000896448;9.98E-08;0.012175078
358;TRUE;32.4841;30.3759;TRUE;3.728489561;-0.000576208;2.00E-10;0.001725634
359;FALSE;;;;;;;
360;TRUE;28.6762;26.2703;FALSE;265.208821;-0.000553353;7.88E-08;0.11585112
361;FALSE;;;;;;;
362;TRUE;25.6795;28.3152;FALSE;181.1587525;-0.000725924;7.79E-08;0.072864444
363;TRUE;32.4992;23.2537;FALSE;65.8773388;-0.000304608;8.70E-08;0.028134024
364;TRUE;28.9152;28.2435;FALSE;108.5540459;-0.000502101;8.09E-08;0.045677585
365;FALSE;;;;;;;
366;TRUE;30.4702;28.7173;FALSE;72.97555375;-0.0003005;8.48E-08;0.030470569
367;TRUE;28.913;25.1443;FALSE;232.9469764;-0.000492238;7.97E-08;0.098018109
368;TRUE;32.6781;28.7793;FALSE;28.28297593;-0.000654446;8.66E-08;0.012175793
369;FALSE;;;;;;;
370;TRUE;23.6071;28.7976;FALSE;113.5757834;-0.00015131;8.54E-08;0.05194898
